"product_id","title","tags","category","popularity_score"
"P1","Wireless Headphones","wireless,audio,bluetooth","Electronics","85"
"P2","Bluetooth Speaker","bluetooth,audio,portable","Electronics","80"
"P3","Smartphone","smart,android,electronics","Electronics","90"
"P4","Running Shoes","sport,footwear,comfort","Sports","75"
"P5","Sports Watch","sport,wearable,fitness","Sports","70"
"P6","Novel Book","fiction,book,reading","Books","65"
"P7","Digital Camera","photography,electronics,portable","Electronics","78"
"P8","Leather Jacket","fashion,clothing,leather","Clothing","72"
"P9","Coffee Maker","kitchen,appliance,coffee","Kitchen","68"
"P10","Cookware Set","kitchen,cooking,appliance","Kitchen","60"
"P11","Lipstick","beauty,makeup,cosmetics","Beauty","82"
"P12","Perfume","fragrance,beauty,scents","Beauty","77"
"P13","Jeans","fashion,clothing,casual","Clothing","69"
"P14","Smart Watch","electronics,wearable,smart","Electronics","88"
"P15","Treadmill","fitness,sport,home","Sports","66"
"P16","Fiction Book","fiction,reading,book","Books","64"
"P17","Blender","kitchen,appliance,food","Kitchen","63"
"P18","Sneakers","fashion,footwear,casual","Clothing","71"
"P19","Headphones","audio,wireless,accessory","Electronics","83"
"P20","Tablet","electronics,smart,portable","Electronics","86"
